,date,sales_usd,product_description,client_name,sales_agent_name,dates_well
1022,0,201673.3851,Producto E,Libros al por Mayor S.A.P.I de C.V.,Raul Jimenez,2020-01-01
0,1,829826.209,Producto G,Quesillos S.C.,Guillermo Ochoa,2020-01-02
3334,1,583404.5204,Producto E,Jamonsitos SAPI de CV,Uriel Antuna,2020-01-02
3333,1,172505.4855,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Uriel Antuna,2020-01-02
3332,1,5399.3918969999995,Producto G,Quesillos S.C.,Uriel Antuna,2020-01-02
392,1,166757.5958,Producto F,Arbolitos Unidos de México S.A. de C.V.,Raul Jimenez,2020-01-02
2730,1,6248937.47,Producto G,Jamonsitos SAPI de CV,Edson Álvarez,2020-01-02
2729,1,933985.0014,Producto E,Jamonsitos SAPI de CV,Edson Álvarez,2020-01-02
2147,1,696642.6773,Producto E,Carpinteros Unidos del Bajio,Santiago Gim´'enez,2020-01-02
2146,1,474549.4045,Producto H,Pescaditos SA de CV,Santiago Gim´'enez,2020-01-02
2145,1,160116.823,Producto E,Pescaditos SA de CV,Santiago Gim´'enez,2020-01-02
2144,1,81783.60719,Producto E,Libros al por Mayor S.A.P.I de C.V.,Santiago Gim´'enez,2020-01-02
1723,1,1991654.7719999999,Producto H,Pescaditos SA de CV,Jose Juan Macias,2020-01-02
1024,1,1070969.768,Producto H,Pescaditos SA de CV,Raul Jimenez,2020-01-02
1023,1,6625.944490999999,Producto E,Pescaditos SA de CV,Raul Jimenez,2020-01-02
393,1,389456.0828,Producto H,Pescaditos SA de CV,Raul Jimenez,2020-01-02
3335,1,828904.8209,Producto E,Quesillos S.C.,Uriel Antuna,2020-01-02
3336,1,6949407.44,Producto D,Pescaditos SA de CV,Uriel Antuna,2020-01-02
391,1,43046.15158,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-02
2149,2,208114.0809,Producto E,Libros al por Mayor S.A.P.I de C.V.,Santiago Gim´'enez,2020-01-03
3343,2,550422.6436,Producto E,Libros al por Mayor S.A.P.I de C.V.,Uriel Antuna,2020-01-03
3344,2,569636.7719,Producto E,Arbolitos Unidos de México S.A. de C.V.,Uriel Antuna,2020-01-03
3345,2,1850716.1469999999,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Uriel Antuna,2020-01-03
3346,2,2815238.566,Producto E,Quesillos S.C.,Uriel Antuna,2020-01-03
2148,2,25179.87042,Producto E,Pescaditos SA de CV,Santiago Gim´'enez,2020-01-03
2731,2,456589.8844,Producto F,Arbolitos Unidos de México S.A. de C.V.,Edson Álvarez,2020-01-03
2732,2,1088741.757,Producto G,Jamonsitos SAPI de CV,Edson Álvarez,2020-01-03
1028,2,2045973.371,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-03
1027,2,645232.272,Producto F,Libros al por Mayor S.A.P.I de C.V.,Raul Jimenez,2020-01-03
3342,2,309823.0303,Producto E,Jamonsitos SAPI de CV,Uriel Antuna,2020-01-03
1025,2,54628.038029999996,Producto H,Pescaditos SA de CV,Raul Jimenez,2020-01-03
3340,2,59254.9954,Producto E,Libros al por Mayor S.A.P.I de C.V.,Uriel Antuna,2020-01-03
1026,2,66961.3636,Producto C,Pescaditos SA de CV,Raul Jimenez,2020-01-03
1724,2,81543.88738,Producto F,Arbolitos Unidos de México S.A. de C.V.,Jose Juan Macias,2020-01-03
1,2,655680.0142,Producto G,Quesillos S.C.,Guillermo Ochoa,2020-01-03
394,2,762957.4398,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-03
395,2,776754.4481,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-03
396,2,1690132.937,Producto H,Pescaditos SA de CV,Raul Jimenez,2020-01-03
3337,2,12399.58257,Producto E,Pescaditos SA de CV,Uriel Antuna,2020-01-03
2150,2,504994.1763,Producto H,Pescaditos SA de CV,Santiago Gim´'enez,2020-01-03
3338,2,14959.75489,Producto G,Quesillos S.C.,Uriel Antuna,2020-01-03
3341,2,205379.6077,Producto G,Jamonsitos SAPI de CV,Uriel Antuna,2020-01-03
1726,2,1052404.5359999998,Producto E,Libros al por Mayor S.A.P.I de C.V.,Jose Juan Macias,2020-01-03
1725,2,339892.53799999994,Producto H,Pescaditos SA de CV,Jose Juan Macias,2020-01-03
3339,2,58664.208139999995,Producto E,Pescaditos SA de CV,Uriel Antuna,2020-01-03
2151,3,200604.30800000002,Producto H,Pescaditos SA de CV,Santiago Gim´'enez,2020-01-04
2733,3,1553351.697,Producto G,Jamonsitos SAPI de CV,Edson Álvarez,2020-01-04
3348,3,423169.5583,Producto G,Jamonsitos SAPI de CV,Uriel Antuna,2020-01-04
3347,3,112047.6471,Producto E,Jamonsitos SAPI de CV,Uriel Antuna,2020-01-04
1727,3,879558.0706,Producto H,Pescaditos SA de CV,Jose Juan Macias,2020-01-04
2153,5,1252290.399,Producto H,Pescaditos SA de CV,Santiago Gim´'enez,2020-01-06
1728,5,1395128.654,Producto H,Pescaditos SA de CV,Jose Juan Macias,2020-01-06
2734,5,808304.7034,Producto G,Jamonsitos SAPI de CV,Edson Álvarez,2020-01-06
2152,5,75535.55507999999,Producto E,Pescaditos SA de CV,Santiago Gim´'enez,2020-01-06
1729,5,1937576.9540000001,Producto E,Libros al por Mayor S.A.P.I de C.V.,Jose Juan Macias,2020-01-06
3351,5,674796.3525,Producto E,Jamonsitos SAPI de CV,Uriel Antuna,2020-01-06
397,5,128120.836,Producto E,Carros y Refacciones del Centro S.A. de C.V.,Raul Jimenez,2020-01-06
